crt_ratio,tput,irt_med,irt_90,irt_95,irt_99,crt_med,crt_90,crt_95,crt_99
1,5595.911230631036,15.39404296875,18.64306640625,24.30419921875,107.524658203125,203.58544921875,205.91748046875,206.73681640625,208.421142578125
1,5386.588362072181,15.9697265625,19.130126953125,69.701416015625,108.16943359375,203.53125,206.361328125,207.288330078125,210.62939453125
1,5315.42047795594,15.68994140625,18.70703125,66.573486328125,108.0908203125,203.404296875,206.8427734375,208.0498046875,439.085693359375
10,2153.8706533795967,16.177490234375,106.05419921875,108.041748046875,113.58447265625,202.957275390625,205.7890625,206.566650390625,224.96240234375
10,2153.378409161273,16.222900390625,106.247314453125,107.967041015625,111.2275390625,202.830078125,205.6708984375,206.377197265625,207.308349609375
10,2108.1341873703127,16.454833984375,106.392822265625,107.9580078125,117.74267578125,202.8291015625,205.844482421875,206.506103515625,259.7421875
20,1474.4908797953337,24.402587890625,107.0048828125,108.232666015625,110.540771484375,202.81787109375,205.513671875,206.072998046875,207.611083984375
20,1481.5694304538906,19.123779296875,107.175537109375,108.5439453125,110.806884765625,202.75146484375,205.638427734375,206.140625,207.273681640625
20,1521.1808937666294,17.74560546875,106.8935546875,108.25634765625,110.99609375,202.601318359375,205.4052734375,206.06103515625,208.0166015625
30,1205.0717302428989,44.75244140625,107.5703125,108.88525390625,119.7646484375,202.58984375,205.487548828125,206.105224609375,224.570068359375
30,1212.9179176693099,40.697509765625,106.9287109375,108.33251953125,110.04150390625,202.421142578125,205.3212890625,205.882080078125,207.22998046875
30,1247.8202203273647,32.13134765625,106.7998046875,108.128662109375,112.5361328125,202.39892578125,205.32763671875,206.077880859375,209.058349609375
40,1028.200041301747,56.055908203125,106.6572265625,107.75048828125,110.7783203125,202.2744140625,205.1396484375,205.7802734375,207.316162109375
40,1039.6264258072024,61.24951171875,106.8349609375,107.838623046875,110.530517578125,202.384521484375,205.181396484375,205.571533203125,206.927001953125
40,1009.3477726703688,60.623046875,107.2216796875,108.772705078125,136.526611328125,202.361572265625,205.46142578125,206.47998046875,436.720458984375
50,891.5516183200187,71.70361328125,106.448974609375,107.357666015625,109.783203125,202.104248046875,205.0947265625,205.51806640625,206.441162109375
50,917.3626884721925,70.1708984375,106.55126953125,107.64208984375,110.2294921875,202.240966796875,205.154541015625,205.712158203125,206.931884765625
50,891.9979715002016,79.931396484375,106.83251953125,107.73046875,109.8720703125,202.286865234375,205.236572265625,205.76513671875,207.01025390625
50,891.9979715002016,79.931396484375,106.83251953125,107.73046875,109.8720703125,202.286865234375,205.236572265625,205.76513671875,207.01025390625
60,809.028033578247,84.77734375,106.26318359375,107.2568359375,110.46337890625,202.043701171875,205.046142578125,205.477294921875,206.469970703125
60,803.8160932082175,75.421875,106.072509765625,107.322021484375,110.27783203125,202.064453125,205.07421875,205.5390625,206.476806640625
60,795.1687118011964,77.916748046875,106.678955078125,107.98046875,135.368896484375,202.15966796875,205.306640625,206.212890625,315.168212890625
70,738.6320713938283,84.945556640625,105.86083984375,107.0576171875,109.845458984375,202.01708984375,204.940185546875,205.3056640625,206.219482421875
70,727.688780697563,81.694091796875,106.512451171875,107.951171875,254.442138671875,202.10888671875,205.09716796875,205.626220703125,364.65185546875
70,740.3060416501949,93.52490234375,106.632080078125,107.892333984375,113.570556640625,202.046142578125,205.03369140625,205.469482421875,207.459716796875
80,682.1933532809529,79.615478515625,105.508544921875,106.740234375,110.95556640625,201.828125,204.82177734375,205.13916015625,205.983154296875
80,688.6850804634213,87.8037109375,105.829345703125,106.68603515625,113.3212890625,201.841064453125,204.884033203125,205.185791015625,206.0234375
80,682.9606370877217,84.932861328125,105.674560546875,106.726318359375,112.913330078125,201.8505859375,204.842041015625,205.196533203125,205.80810546875
90,628.2153449625264,84.482177734375,105.494140625,106.83349609375,113.83154296875,201.850341796875,204.848388671875,205.16943359375,205.921630859375
90,626.8002892610316,92.07470703125,106.806396484375,108.11376953125,152.03955078125,202.0712890625,205.2060546875,206.234130859375,336.384521484375
90,634.3225537225736,90.607421875,106.35107421875,108.12158203125,115.931884765625,201.83984375,204.828857421875,205.154541015625,205.91845703125
